NumeroContrato,ValorFace_Internal,ValorAquisicao_Internal,NumCessions,FundAlias,FundUserId,DataReferencia,CodCnpj,NomeFundo,CnpjSacado,NomeSacado,TipoProduto,TaxaCessao,ValorAquisicao_Fund,ValorPresente,ValorFace_Fund,DataAquisicao,DataVencimento,RatingContrato,DiasAtraso,ValorDesembolso,Bandeira,Banco,Agencia,Conta,Prazo,PrazoAtual,Reverse
93e74f74-0776-4384-b9e1-80078bd974cb,8666.59,8569.060000000001,10,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,59158642000166,EDENRED SOLUCOES E INSTITUICAO DE PAGAMENTO AHA S.,CSC de arranjo de pagamento banco emissor confirmado,0.161955024826957,8569.06,8625.3901641061,8666.59,2025-05-15,2025-06-11,AA,0,8569.06,Mastercard,1,208,8630592,19,8,0.0
95d9043a-3134-4fdf-9e44-704bdfeec5a6,105.75,91.41,3,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,34786340000101,STONE CARTOES INSTITUICAO DE PAGAMENTO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.161124841006214,91.4,92.3805203265,105.75,2025-05-06,2026-04-27,AA,0,91.4,Visa,1,208,8630592,246,228,0.0
6fda7e60-8a24-4714-acd0-9b44e57a791c,175.23,167.02,2,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,59158642000166,EDENRED SOLUCOES E INSTITUICAO DE PAGAMENTO AHA S.,CSC de arranjo de pagamento banco emissor confirmado,0.161008764734916,167.02,169.3113236567,175.23,2025-04-28,2025-08-21,AA,0,167.02,Elo,1,208,8630592,81,58,0.0
04c6f5d3-5d3e-455c-a23d-e8972f524823,202.81,183.8,2,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,3130170000189,BRASIL CARD INSTITUICAO DE PAGAMENTOS LTDA,CSC de arranjo de pagamento banco emissor confirmado,0.16220175945161,183.8,186.1168246632,202.81,2025-04-30,2025-12-22,AA,0,183.8,Visa,1,208,8630592,165,144,0.0
d367c394-5989-4ac3-8063-0100a9b4b120,107.25,103.56,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,3012230000169,HIPERCARD BANCO MULTIPLO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.161300188330241,103.56,104.8586067896,107.25,2025-04-30,2025-07-24,AA,0,103.56,Mastercard,1,208,8630592,59,38,0.0
467c38d8-3879-4bf6-9431-d69a85f88e4f,950.17,822.99,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,60701190000104,ITAU UNIBANCO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.15998635100637,822.99,823.9599242428,950.17,2025-05-28,2026-05-18,AA,0,822.99,Mastercard,1,208,8630592,243,242,0.0
b46ea3b5-1735-40b4-8ee4-3987f594f744,597.05,572.97,3,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,191,BANCO DO BRASIL SA,CSC de arranjo de pagamento banco emissor confirmado,0.162167898226668,572.98,578.4735666316,597.05,2025-05-08,2025-08-14,AA,0,572.98,Visa,1,208,8630592,69,53,0.0
d572a894-ed81-454e-8ea2-11e297d0eb8a,1218.52,1164.49,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,17192451000170,BANCO ITAUCARD S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.162280009824346,1164.49,1175.6619940252,1218.52,2025-05-08,2025-08-25,AA,0,1164.49,Mastercard,1,208,8630592,76,60,0.0
22463a0c-8417-4ac1-ade8-6023f57fa1a7,1417.79,1332.2499999999998,6,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,17184037000110,BANCO MERCANTIL DO BRASIL SA,CSC de arranjo de pagamento banco emissor confirmado,0.162750441050421,1332.25,1336.2418349503,1417.79,2025-05-23,2025-10-17,AA,0,1332.25,Visa,1,208,8630592,103,99,0.0
091bd5c5-5521-4321-a4e3-e53dbc814d8a,975.52,872.64,3,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,58160789000128,BANCO SAFRA S A,CSC de arranjo de pagamento banco emissor confirmado,0.162068332763815,872.63,881.516992524,975.52,2025-05-07,2026-01-29,AA,0,872.63,Visa,1,208,8630592,187,170,0.0
4a73f4f8-1a4c-4d4f-959b-fceb76c44598,2068.97,1808.83,5,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,60701190000104,ITAU UNIBANCO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.161628709039924,1808.84,1818.5447259791,2068.97,2025-05-19,2026-04-09,AA,0,1808.84,Mastercard,1,208,8630592,226,217,0.0
0d999b80-cb0f-422e-a775-f11c693905b6,13496.88,13016.77,11,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,1722480000167,QUERO-QUERO VERDECARD INSTITUICAO DE PAGAMENTO S.A,CSC de arranjo de pagamento banco emissor confirmado,0.161404737109564,13016.77,13164.4520738083,13496.88,2025-05-05,2025-07-30,AA,0,13016.77,Elo,1,208,8630592,61,42,0.0
8280104b-0a14-429d-b09d-c92206951ed1,9184.52,8222.98,12,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,315557000111,CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS UN,CSC de arranjo de pagamento banco emissor confirmado,0.161635474436599,8222.97,8331.235452556,9184.52,2025-04-29,2026-01-21,AA,0,8222.97,Visa,1,208,8630592,185,164,0.0
bb8730e8-62c9-4690-9c0c-c643d8870e6f,5983.599999999999,5774.21,8,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,61186680000174,BANCO BMG S.A,CSC de arranjo de pagamento banco emissor confirmado,0.161387294808917,5774.2,5839.7047109849,5983.6,2025-05-05,2025-07-29,AA,0,5774.2,Mastercard,1,208,8630592,60,41,0.0
ec73e16d-763b-41a2-934d-6cb09ae30aa5,27181.110000000004,24933.71,17,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,3012230000169,HIPERCARD BANCO MULTIPLO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.161818939092149,24933.7,25262.3309315701,27181.11,2025-04-29,2025-11-21,AA,0,24933.7,Mastercard,1,208,8630592,145,123,0.0
3b4894de-d951-4acb-a7cd-a7bf5c7286df,56036.62999999999,54081.130000000005,15,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,27351731000138,REALIZE CREDITO FINANCIAMENTO E INVESTIMENTO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.160888730021091,54081.12,54790.0881169546,56036.63,2025-04-29,2025-07-24,AA,0,54081.12,Mastercard,1,208,8630592,60,38,0.0
679ebd07-4c55-4ec6-98ad-99f1f6a88f5e,481.18,441.45,3,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,5938780000309,COOPER CARD INSTITUICAO DE PAGAMENTO LTDA,CSC de arranjo de pagamento banco emissor confirmado,0.161565990923073,441.45,447.5257885654,481.18,2025-04-28,2025-11-19,AA,0,441.45,Visa,1,208,8630592,145,122,0.0
2d90d0b8-cd18-4876-83b6-3be7baaea335,236.64,219.99,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,9464032000112,MIDWAY S.A.- CREDITO FINANCIAMENTO E INVESTIMENTO,CSC de arranjo de pagamento banco emissor confirmado,0.162647743404314,219.99,222.1050217661,236.64,2025-05-08,2025-10-28,AA,0,219.99,Visa,1,208,8630592,122,106,0.0
c7f4a929-9f05-4b9d-bc6b-5f8dacd26795,14637.119999999999,12961.94,26,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,92702067000196,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,CSC de arranjo de pagamento banco emissor confirmado,0.161148316940102,12961.94,13139.9071563503,14637.12,2025-04-28,2026-02-18,AA,0,12961.94,Mastercard,1,208,8630592,205,182,0.0
bc763f94-219f-4e45-b859-d38264ec0618,35736.83,30894.099999999995,18,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,10573521000191,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,CSC de arranjo de pagamento banco emissor confirmado,0.160168144854362,30894.08,31297.3846167701,35736.83,2025-04-29,2026-04-22,AA,0,30894.08,Visa,1,208,8630592,246,225,0.0
0883d6c9-e757-4f38-b6b4-84a41c5df94b,47639.15,44230.719999999994,29,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,360305000104,CAIXA ECONOMICA FEDERAL,CSC de arranjo de pagamento banco emissor confirmado,0.16284007333237,44230.72,44469.6804420057,47639.15,2025-05-19,2025-11-10,AA,0,44230.72,Mastercard,1,208,8630592,124,115,0.0
087fe0b9-8cdd-46d0-ade5-044e52306ac8,56.3,49.23,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,4184779000101,BANCO BRADESCARD S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.160638312840316,49.23,49.9039258141,56.3,2025-04-28,2026-03-20,AA,0,49.23,Mastercard,1,208,8630592,227,204,0.0
814ed026-1bcc-4601-90c5-39b60bef503f,170.52,158.52,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,4184779000101,BANCO BRADESCARD S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.16268116216695,158.52,160.04433067,170.52,2025-05-08,2025-10-28,AA,0,158.52,Mastercard,1,208,8630592,122,106,0.0
985533c3-4a21-456a-b7e0-ff2eebcd8196,1478.1200000000001,1277.4,4,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,61186680000174,BANCO BMG S.A,CSC de arranjo de pagamento banco emissor confirmado,0.16196679644911,1277.4,1298.1113675583,1478.12,2025-04-22,2026-04-10,AA,0,1277.4,Mastercard,1,208,8630592,245,218,0.0
