id,internal_face_value,fund_face_value,internal_acquisition_value,fund_acquisition_value
a3fefddd-5331-4232-951a-27c58cd2f599,78.08,359.42,,
0008392a-c63e-43e1-8f69-2794b6ba120c,,,425.35,427.22
001f7138-d03b-4050-80d0-70f93339a33c,,,11311.33,11311.32
00212a35-a704-461c-a775-35a838cfecb3,,,1586.93,1579.58
002a0dca-0918-421e-a028-18907a21f52c,,,390666.24,390666.22
002bbf01-575e-4cd3-a5a9-2b6ab3b25a49,,,51268.439999999995,51268.45
002ecd5b-8fe2-44e6-bff6-cc22110bb3ad,,,169503.68000000002,169503.67
002f98b6-eef3-4bf3-b853-9ef0bdabb24b,,,161347.22000000003,161347.21
0040f0d2-dd6f-4135-8aec-3e02e27609ef,,,1777155.890000001,1777155.88
00454106-beec-4dcf-8b2c-bfd2898f9fa5,,,16775.47,16775.46
00464662-559d-4889-a1b6-f1b742875163,,,227692.32,227692.29
005c3ccf-dc77-4fae-9bc1-1521a2fdef4a,,,8406.63,8406.61
00664cc8-7959-4981-9ba0-fa2cb4d4e5c5,,,3134.21,3134.19
006eed3c-c490-49e2-a524-3649a7e1ccf1,,,893.06,893.07
00780dcd-9a83-4692-b36f-8010dd35a60b,,,21773.37,21773.38
008078fb-b080-464d-a0aa-dd477c477591,,,25855.35,25855.34
00917f53-37d5-43ae-8ad7-054e509089f8,,,210913.74,210913.7
0097bf32-631c-4d7d-bc69-0a3867b062e7,,,12025.23,12025.22
009a6e3f-58c4-462e-87f0-f94cb93519b3,,,14039.7,14039.72
009db09c-aebd-465a-b37f-4595ed1c3a22,,,2252.74,2252.75
00a0de4a-5a5e-4ec4-8314-e19a856ba61b,,,40164.82,40164.81
00b380fa-6d0d-4fde-a9ac-40967f1a916b,,,11863.24,11863.23
00bca8c3-97ea-45ff-aec1-5370570e191d,,,12659.02,12659.01
00c6a62a-1e81-4263-baf3-c47af5bd77e3,,,484319.03,484319.01
00d32ad0-8d25-41de-9148-482911839939,,,139534.06,139534.07
00def672-7ed7-4b7a-898a-ff9f0eeddad4,,,11988.23,11939.2
00e18289-b204-410f-84b0-d457893b69b7,,,85468.37999999999,85468.39
00e28cbf-bb1c-43ae-89b6-501cc46259b8,,,73271.81999999999,73271.84
00e76eec-6e42-41f6-9f71-7d02b02c8cb5,,,7328.960000000001,7328.95
00e77b48-2632-4491-a890-f6f3bcdb240f,,,2062115.39,2062115.34
00f51221-bba6-4134-a542-d2fd64b0b849,,,110983.27,110983.29
00f8e450-c6ee-4bb5-8869-c728c8b96a41,,,270.78,270.79
00fbc8d4-13fa-4d54-a603-fab993c19af1,,,120545.98,120545.96
010a3e3a-b420-42d1-90c8-a67f3b7f256a,,,23348.26,23348.27
010a695c-8e47-466c-ab1c-8039e305459a,,,12344.990000000002,12344.98
010e39f1-68e6-42eb-b793-6da44dd60f79,,,9103.27,9103.28
0115686b-c6a2-4170-81ab-17f6cb2897a5,,,68189.27,68189.26
01212bb8-b799-4f9b-b3a5-db7967b8ddd0,,,14447.669999999998,14447.68
012c6018-73b4-4bd9-b27d-dcf298e608b9,,,233693.98000000004,233694.0
0131f4ef-e1de-4f1e-9e33-3ba6a326ca15,,,209.0,210.04
013b52ea-1965-45f3-969b-4b6aa4aed3f6,,,32394.06,32394.07
013c31d7-f902-4199-8ebf-252b80ed37f0,,,6126.6,6126.59
01420cab-ea8e-4e3c-8e41-3966599fc1ec,,,553.44,553.43
01435815-8bd3-46dc-9a19-c152e5e8bccb,,,7534.28,7534.29
0146af58-f76a-45ba-afd7-168245444ecf,,,3242.43,3242.44
0147a239-8dd5-40f8-9d51-1f35edd948cc,,,12720.98,12720.99
01497dbe-a2b5-4d37-af0d-69256a2b812c,,,32741.15999999999,32741.18
014b1905-46e3-44ba-b043-8fa1289c12f8,,,20056.14,20056.15
01565990-bf4a-435c-bba8-033209c21160,,,347710.34,347710.36
0157702a-0425-4f89-b289-2e884be7a973,,,10684.06,10684.08
0157dafc-e120-4ed3-90ce-e90caf8ec8c6,,,22286.139999999996,22286.15
015df5eb-c5f5-4946-9b1b-b34dc5a463cc,,,455.34,455.35
01620e72-4914-4572-8d11-4741d3536384,,,104077.98,104077.96
0162e445-07c0-4774-9bcb-347942161005,,,178332.26,178332.25
0166c887-0a14-4184-895a-3b6b05ef952d,,,55035.1,55035.11
01776ee4-07aa-490c-90db-343940ae9428,,,4056.809999999999,4056.82
017c6edc-5335-4dbb-a7d5-8c2b8f962575,,,2092.37,2092.38
018bad8a-1048-4dee-ae16-eb08d2fcfbb7,,,118537.37,118537.36
018f6c60-caa4-4e08-97f5-7d33098030a2,,,5269.280000000001,5269.27
01932ec6-d22c-4fe3-b919-3f10ad4e85c1,,,101721.79,101721.8
0194814d-3cb5-4101-9eec-b185f016aaaf,,,123669.02,123669.01
0199e47f-22c1-4e61-a23e-23456217bcce,,,34119.65,34119.66
